대여수,대여시간_합,이동거리_합,이동거리_평균,이동거리_최솟값,이동거리_중앙값,이동거리_최댓값
1887.0,3808222.0,3621520.0,1919.1944886062533,10.0,1510.0,5620.0
1276.0,2198509.0,2346730.0,1839.130094043887,10.0,1470.0,5580.0
2271.0,5701745.0,5007630.0,2205.033025099075,10.0,1920.0,5630.0
2306.0,6229185.0,5061740.0,2195.0303555941023,10.0,1950.0,5630.0
1467.0,2642324.0,2626900.0,1790.6612133606,10.0,1340.0,5580.0
2244.0,4441843.0,4355230.0,1940.8333333333333,10.0,1540.0,5630.0
1953.0,3775958.0,3776790.0,1933.8402457757297,10.0,1550.0,5600.0
1982.0,3863627.0,3732960.0,1883.43087790111,10.0,1480.0,5610.0
1603.0,3388538.0,3254170.0,2030.0499064254523,10.0,1630.0,5600.0
2159.0,5210117.0,4565900.0,2114.821676702177,10.0,1860.0,5630.0
368.0,895113.0,796550.0,2164.538043478261,10.0,1850.0,5520.0
204.0,289099.0,331310.0,1624.0686274509803,10.0,1210.0,5520.0
408.0,662735.0,677510.0,1660.563725490196,10.0,1320.0,5590.0
1275.0,2621700.0,2518610.0,1975.3803921568629,10.0,1610.0,5630.0
1997.0,4083014.0,3850550.0,1928.1672508763145,10.0,1500.0,5630.0
1961.0,3676748.0,3764170.0,1919.515553289138,10.0,1500.0,5570.0
2134.0,5197275.0,4565280.0,2139.3064667291474,10.0,1870.0,5610.0
1766.0,4143717.0,3831600.0,2169.6489241223103,10.0,1870.0,5630.0
1080.0,2230612.0,2122360.0,1965.148148148148,10.0,1585.0,5630.0
1791.0,3381276.0,3485660.0,1946.2088218872138,10.0,1550.0,5630.0
924.0,1682182.0,1704320.0,1844.5021645021645,10.0,1450.0,5560.0
107.0,163157.0,192610.0,1800.0934579439252,30.0,1400.0,5490.0
715.0,1245309.0,1277810.0,1787.1468531468531,10.0,1460.0,5620.0
834.0,1825286.0,1652380.0,1981.2709832134292,10.0,1630.0,5620.0
1485.0,3534891.0,3157260.0,2126.10101010101,10.0,1780.0,5630.0
929.0,1517750.0,1648230.0,1774.1980624327234,10.0,1390.0,5610.0
828.0,1317926.0,1470630.0,1776.123188405797,10.0,1325.0,5590.0
463.0,762675.0,837690.0,1809.2656587473002,10.0,1470.0,5590.0
706.0,1349735.0,1257640.0,1781.359773371105,10.0,1430.0,5620.0
881.0,1439932.0,1445100.0,1640.295119182747,10.0,1280.0,5580.0
655.0,1377865.0,1236770.0,1888.1984732824428,10.0,1510.0,5530.0
1243.0,2792838.0,2489290.0,2002.6468222043443,10.0,1610.0,5630.0
842.0,1274372.0,1399860.0,1662.541567695962,10.0,1240.0,5630.0
836.0,1343239.0,1384660.0,1656.2918660287082,10.0,1230.0,5610.0
941.0,1663501.0,1640780.0,1743.6556854410203,10.0,1320.0,5520.0
770.0,1334913.0,1371180.0,1780.7532467532467,10.0,1400.0,5500.0
231.0,288605.0,348280.0,1507.7056277056276,10.0,1130.0,5590.0
192.0,352573.0,345320.0,1798.5416666666667,10.0,1440.0,5360.0
973.0,2225954.0,1912890.0,1965.9712230215828,10.0,1590.0,5630.0
330.0,442764.0,481670.0,1459.6060606060605,10.0,1090.0,5620.0
476.0,787765.0,797270.0,1674.936974789916,10.0,1220.0,5600.0
788.0,1355888.0,1347020.0,1709.4162436548224,10.0,1305.0,5590.0
1247.0,2315131.0,2240640.0,1796.8243785084203,10.0,1390.0,5610.0
1284.0,2258306.0,2181830.0,1699.2445482866044,10.0,1310.0,5600.0
1205.0,2654658.0,2377460.0,1972.9958506224066,10.0,1600.0,5620.0
1233.0,2738129.0,2532750.0,2054.1362530413626,10.0,1720.0,5630.0
1329.0,2799871.0,2568820.0,1932.8969149736645,10.0,1480.0,5620.0
1375.0,2482668.0,2472400.0,1798.1090909090908,10.0,1380.0,5600.0
1388.0,2552386.0,2551000.0,1837.8962536023055,10.0,1320.0,5610.0
1368.0,2424647.0,2396060.0,1751.5058479532163,10.0,1340.0,5580.0
1332.0,2461735.0,2446080.0,1836.3963963963963,10.0,1390.0,5540.0
1032.0,2104974.0,1990710.0,1928.9825581395348,10.0,1570.0,5610.0
1488.0,3724099.0,3216510.0,2161.6330645161293,10.0,1780.0,5610.0
1583.0,3250678.0,2925730.0,1848.218572331017,10.0,1430.0,5610.0
1520.0,3210763.0,2932200.0,1929.078947368421,10.0,1470.0,5610.0
698.0,1017644.0,1118050.0,1601.7908309455588,10.0,1195.0,5620.0
1505.0,3082142.0,2861550.0,1901.362126245847,10.0,1470.0,5610.0
749.0,1175183.0,1172110.0,1564.8998664886515,10.0,1280.0,5570.0
678.0,1385925.0,1311160.0,1933.8643067846608,10.0,1500.0,5580.0
1129.0,2801028.0,2389920.0,2116.846767050487,10.0,1810.0,5610.0
1807.0,4122498.0,3648950.0,2019.3414499169894,10.0,1680.0,5620.0
1370.0,2733555.0,2574120.0,1878.9197080291972,10.0,1420.0,5630.0
230.0,350293.0,346430.0,1506.2173913043478,10.0,1140.0,5570.0
1699.0,4108533.0,3476460.0,2046.1801059446734,10.0,1660.0,5620.0
2253.0,5424666.0,4744910.0,2106.0408344429648,10.0,1760.0,5630.0
2877.0,8075189.0,6439400.0,2238.234271810914,10.0,1990.0,5630.0
563.0,1385144.0,1256790.0,2232.309058614565,10.0,1980.0,5620.0
213.0,394579.0,369540.0,1734.9295774647887,10.0,1430.0,5450.0
2320.0,5374713.0,4876430.0,2101.9094827586205,10.0,1810.0,5630.0
1797.0,3826821.0,3580080.0,1992.253756260434,10.0,1650.0,5610.0
2360.0,5212447.0,4827220.0,2045.4322033898304,10.0,1685.0,5630.0
838.0,1386551.0,1398870.0,1669.2959427207638,10.0,1250.0,5610.0
918.0,2269411.0,1886880.0,2055.424836601307,10.0,1695.0,5610.0
3328.0,9788104.0,7606760.0,2285.685096153846,10.0,2080.0,5630.0
2331.0,4905316.0,4771450.0,2046.954096954097,10.0,1710.0,5630.0
2358.0,5087494.0,4758920.0,2018.2018659881255,10.0,1630.0,5630.0
907.0,1537420.0,1681700.0,1854.1345093715545,10.0,1400.0,5600.0
1433.0,2525675.0,2733800.0,1907.7459874389392,10.0,1490.0,5630.0
2503.0,5320758.0,4910460.0,1961.8298042349181,10.0,1600.0,5630.0
2615.0,6894990.0,5638380.0,2156.168260038241,10.0,1900.0,5630.0
3210.0,8903539.0,7334720.0,2284.9595015576324,10.0,2110.0,5630.0
2186.0,4447518.0,4314990.0,1973.9204025617566,10.0,1605.0,5630.0
2461.0,4954828.0,4726140.0,1920.4144656643641,10.0,1530.0,5620.0
2398.0,4743426.0,4753240.0,1982.1684737281068,10.0,1600.0,5620.0
2319.0,4534177.0,4462180.0,1924.1828374299266,10.0,1560.0,5620.0
2503.0,5279270.0,4807720.0,1920.7830603276068,10.0,1550.0,5630.0
3238.0,8435109.0,6889160.0,2127.597282273008,10.0,1880.0,5630.0
3097.0,8538724.0,6897030.0,2227.0035518243462,10.0,2040.0,5630.0
2359.0,4712144.0,4486830.0,1902.0050869012293,10.0,1550.0,5600.0
2458.0,5107441.0,4693010.0,1909.279902359642,10.0,1560.0,5630.0
2150.0,5449692.0,4604470.0,2141.6139534883723,10.0,1870.0,5620.0
2172.0,5833068.0,4899740.0,2255.865561694291,10.0,2085.0,5630.0
2851.0,7674130.0,6092430.0,2136.9449316029463,10.0,1890.0,5620.0
2313.0,6045938.0,4929050.0,2131.0203199308257,10.0,1810.0,5610.0
2218.0,5458553.0,4694830.0,2116.6952209197475,10.0,1830.0,5630.0
1948.0,3558956.0,3643580.0,1870.4209445585216,10.0,1510.0,5580.0
2100.0,3889738.0,3982260.0,1896.3142857142857,10.0,1560.0,5600.0
2178.0,4244377.0,4189500.0,1923.5537190082644,10.0,1550.0,5630.0
2163.0,4024573.0,4095080.0,1893.2408691631992,10.0,1540.0,5580.0
2656.0,6819980.0,5583610.0,2102.2628012048194,10.0,1845.0,5630.0
2825.0,7029900.0,5952900.0,2107.221238938053,10.0,1860.0,5630.0
2433.0,6351214.0,5326400.0,2189.2314015618576,10.0,1920.0,5630.0
1870.0,3398107.0,3435780.0,1837.3155080213903,10.0,1425.0,5630.0
1809.0,3124113.0,3301600.0,1825.0967385295744,10.0,1440.0,5630.0
1774.0,2970373.0,3186920.0,1796.4599774520857,10.0,1400.0,5620.0
1872.0,3327594.0,3428740.0,1831.5918803418804,10.0,1450.0,5620.0
1762.0,3025475.0,3169700.0,1798.9216799091942,10.0,1450.0,5630.0
2175.0,5015542.0,4330230.0,1990.9103448275862,10.0,1680.0,5610.0
1991.0,4840825.0,4221770.0,2120.4269211451533,10.0,1840.0,5630.0
1703.0,2940585.0,3111460.0,1827.0463887257781,10.0,1400.0,5610.0
1883.0,3337304.0,3573870.0,1897.9660116834839,10.0,1510.0,5630.0
1764.0,2956615.0,3065420.0,1737.766439909297,10.0,1355.0,5620.0
1667.0,2691834.0,2902490.0,1741.1457708458308,10.0,1380.0,5620.0
1594.0,2845655.0,2818450.0,1768.1618569636134,10.0,1450.0,5610.0
1628.0,3631697.0,3145800.0,1932.3095823095823,10.0,1575.0,5620.0
1927.0,4676327.0,4001390.0,2076.4867669953296,10.0,1790.0,5630.0
1645.0,2793300.0,2962910.0,1801.161094224924,10.0,1420.0,5620.0
1765.0,3146460.0,3171200.0,1796.71388101983,10.0,1450.0,5610.0
1802.0,3010941.0,3136750.0,1740.7047724750278,10.0,1400.0,5620.0
1627.0,2854109.0,2874050.0,1766.4720344191765,10.0,1410.0,5610.0
1690.0,2973198.0,2984960.0,1766.2485207100592,10.0,1380.0,5590.0
1781.0,3881737.0,3451740.0,1938.0909601347557,10.0,1570.0,5630.0
269.0,478339.0,424380.0,1577.6208178438662,10.0,1300.0,5450.0
1463.0,2531704.0,2544100.0,1738.9610389610389,10.0,1310.0,5600.0
1057.0,1453548.0,1717380.0,1624.76821192053,10.0,1260.0,5550.0
1130.0,1683685.0,1838510.0,1627.0,10.0,1260.0,5620.0
1306.0,2046348.0,2275070.0,1742.0137825421134,10.0,1330.0,5550.0
1038.0,1511982.0,1702300.0,1639.980732177264,10.0,1285.0,5600.0
1715.0,3750210.0,3324890.0,1938.7113702623906,10.0,1640.0,5610.0
1264.0,3037904.0,2599330.0,2056.4319620253164,10.0,1750.0,5630.0
1145.0,1823058.0,2003900.0,1750.1310043668122,10.0,1360.0,5620.0
1241.0,1956149.0,2098610.0,1691.0636583400483,10.0,1340.0,5580.0
1288.0,2003760.0,2174080.0,1687.9503105590063,10.0,1270.0,5600.0
1391.0,2248857.0,2416000.0,1736.8799424874192,10.0,1360.0,5600.0
1418.0,2132581.0,2349160.0,1656.6713681241185,10.0,1310.0,5600.0
1535.0,3373815.0,2939970.0,1915.2899022801303,10.0,1520.0,5630.0
1521.0,3502300.0,3134220.0,2060.6311637080867,10.0,1750.0,5630.0
1291.0,1967976.0,2136760.0,1655.120061967467,10.0,1320.0,5600.0
807.0,1114133.0,1312970.0,1626.9764560099134,10.0,1270.0,5600.0
665.0,937288.0,1109840.0,1668.9323308270677,10.0,1280.0,5580.0
596.0,843334.0,962730.0,1615.3187919463087,10.0,1265.0,5500.0
897.0,1233496.0,1373080.0,1530.746934225195,10.0,1210.0,5630.0
1202.0,2374281.0,2356100.0,1960.1497504159734,10.0,1555.0,5580.0
566.0,1017570.0,971620.0,1716.643109540636,10.0,1325.0,5590.0
812.0,1139646.0,1310180.0,1613.5221674876848,10.0,1290.0,5560.0
821.0,1240922.0,1403290.0,1709.2448233861146,10.0,1320.0,5620.0
930.0,1477733.0,1604220.0,1724.967741935484,10.0,1355.0,5620.0
1008.0,1505064.0,1713420.0,1699.8214285714287,10.0,1300.0,5580.0
805.0,1121568.0,1277790.0,1587.3167701863354,10.0,1220.0,5620.0
675.0,1226952.0,1161950.0,1721.4074074074074,10.0,1300.0,5600.0
528.0,941249.0,931720.0,1764.621212121212,10.0,1315.0,5460.0
710.0,1086168.0,1191740.0,1678.5070422535211,10.0,1290.0,5540.0
727.0,1084711.0,1250910.0,1720.646492434663,10.0,1310.0,5430.0
746.0,1131478.0,1172810.0,1572.1313672922251,20.0,1220.0,5560.0
686.0,984334.0,1090410.0,1589.5189504373177,10.0,1250.0,5600.0
644.0,944987.0,1072130.0,1664.7981366459628,10.0,1305.0,5600.0
583.0,1147358.0,1055720.0,1810.8404802744426,10.0,1440.0,5610.0
700.0,1544090.0,1375500.0,1965.0,10.0,1665.0,5570.0
612.0,931455.0,1030900.0,1684.4771241830065,10.0,1340.0,5510.0
654.0,1038678.0,1135820.0,1736.7278287461775,10.0,1395.0,5620.0
675.0,1073654.0,1161690.0,1721.0222222222221,10.0,1340.0,5560.0
710.0,1187187.0,1268040.0,1785.9718309859154,10.0,1390.0,5600.0
813.0,1357328.0,1411750.0,1736.469864698647,10.0,1330.0,5500.0
729.0,1587644.0,1400310.0,1920.8641975308642,10.0,1570.0,5630.0
193.0,368256.0,333620.0,1728.60103626943,10.0,1370.0,5500.0
393.0,502169.0,563880.0,1434.8091603053435,10.0,1130.0,4870.0
377.0,524305.0,599930.0,1591.3262599469497,30.0,1250.0,5500.0
382.0,565017.0,621460.0,1626.8586387434555,10.0,1260.0,5540.0
430.0,588904.0,673910.0,1567.2325581395348,10.0,1190.0,5570.0
485.0,668991.0,751200.0,1548.8659793814434,10.0,1250.0,5610.0
403.0,710996.0,721960.0,1791.4640198511165,10.0,1370.0,5630.0
426.0,983336.0,840480.0,1972.9577464788733,10.0,1625.0,5480.0
518.0,820688.0,894520.0,1726.872586872587,10.0,1275.0,5480.0
563.0,982501.0,986570.0,1752.3445825932504,20.0,1450.0,5480.0
618.0,1010705.0,1040730.0,1684.0291262135922,10.0,1400.0,5470.0
582.0,903393.0,965110.0,1658.2646048109966,10.0,1280.0,5530.0
437.0,910917.0,824370.0,1886.4302059496567,10.0,1560.0,5580.0
581.0,1147239.0,1083620.0,1865.0946643717728,10.0,1580.0,5530.0
639.0,1518939.0,1325510.0,2074.3505477308295,10.0,1780.0,5600.0
760.0,1416213.0,1358320.0,1787.2631578947369,10.0,1430.0,5590.0
380.0,657765.0,701580.0,1846.2631578947369,10.0,1535.0,5620.0
198.0,313684.0,350410.0,1769.7474747474748,20.0,1300.0,5480.0
273.0,348595.0,418030.0,1531.2454212454213,10.0,1230.0,5450.0
