대여스테이션,반납스테이션,count,위도_대여,경도_대여,위도_반납,경도_반납
58,203,91,36.3563987,127.3311397,36.3688891,127.3368187
59,31,85,36.3542559,127.3412636,36.3617639,127.3574454
59,32,79,36.3542559,127.3412636,36.3584437,127.3542548
59,68,67,36.3542559,127.3412636,36.3419007,127.3446963
59,70,117,36.3542559,127.3412636,36.3381493,127.3375895
59,108,170,36.3542559,127.3412636,36.3306288,127.3376588
59,203,68,36.3542559,127.3412636,36.3688891,127.3368187
59,227,67,36.3542559,127.3412636,36.3692377,127.334208
60,32,58,36.3532446,127.3417278,36.3584437,127.3542548
60,68,54,36.3532446,127.3417278,36.3419007,127.3446963
60,70,127,36.3532446,127.3417278,36.3381493,127.3375895
60,105,76,36.3532446,127.3417278,36.36935,127.3644226
60,108,229,36.3532446,127.3417278,36.3306288,127.3376588
60,187,54,36.3532446,127.3417278,36.3377538,127.3469808
62,70,56,36.3504847,127.3425075,36.3381493,127.3375895
62,108,113,36.3504847,127.3425075,36.3306288,127.3376588
63,56,69,36.3482054,127.3358087,36.3617967,127.3450565
64,70,62,36.346227,127.3310852,36.3381493,127.3375895
66,56,52,36.3455493,127.3401828,36.3617967,127.3450565
66,108,152,36.3455493,127.3401828,36.3306288,127.3376588
67,108,67,36.3452227,127.3350732,36.3306288,127.3376588
68,17,218,36.3419007,127.3446963,36.352308,127.3785493
68,32,53,36.3419007,127.3446963,36.3584437,127.3542548
68,59,67,36.3419007,127.3446963,36.3542559,127.3412636
68,60,53,36.3419007,127.3446963,36.3532446,127.3417278
68,108,83,36.3419007,127.3446963,36.3306288,127.3376588
69,56,67,36.3426953,127.3374463,36.3617967,127.3450565
70,32,106,36.3381493,127.3375895,36.3584437,127.3542548
70,56,82,36.3381493,127.3375895,36.3617967,127.3450565
70,59,58,36.3381493,127.3375895,36.3542559,127.3412636
70,60,195,36.3381493,127.3375895,36.3532446,127.3417278
70,62,77,36.3381493,127.3375895,36.3504847,127.3425075
70,108,84,36.3381493,127.3375895,36.3306288,127.3376588
70,237,171,36.3381493,127.3375895,36.3244404,127.3781692
74,24,91,36.3663894,127.4260145,36.3777468,127.3698633
74,152,72,36.3663894,127.4260145,36.3323747,127.431888
77,152,156,36.3683645,127.4411321,36.3323747,127.431888
82,117,52,36.3670345,127.4462287,36.3508607,127.4402033
82,122,58,36.3670345,127.4462287,36.3584991,127.4235988
90,83,60,36.3156902,127.3877858,36.3301493,127.3985036
90,241,58,36.3156902,127.3877858,36.2965284,127.3849128
90,242,58,36.3156902,127.3877858,36.3221312,127.404684
94,152,52,36.3169097,127.4546173,36.3323747,127.431888
97,191,68,36.3104244,127.4556346,36.3203019,127.4450125
98,193,97,36.3055216,127.454465,36.309865,127.4420131
104,31,57,36.3751302,127.3780535,36.3617639,127.3574454
105,56,54,36.36935,127.3644226,36.3617967,127.3450565
105,57,51,36.36935,127.3644226,36.3565711,127.3419092
105,150,64,36.36935,127.3644226,36.3035003,127.3494685
107,30,53,36.36935,127.3644226,36.3635561,127.3740015
107,33,60,36.36935,127.3644226,36.3581627,127.361835
107,34,75,36.36935,127.3644226,36.3576407,127.3658705
108,56,65,36.3306288,127.3376588,36.3617967,127.3450565
108,57,58,36.3306288,127.3376588,36.3565711,127.3419092
108,59,93,36.3306288,127.3376588,36.3542559,127.3412636
108,60,163,36.3306288,127.3376588,36.3532446,127.3417278
108,61,54,36.3306288,127.3376588,36.3518705,127.3475384
108,62,111,36.3306288,127.3376588,36.3504847,127.3425075
108,66,103,36.3306288,127.3376588,36.3455493,127.3401828
108,68,97,36.3306288,127.3376588,36.3419007,127.3446963
108,70,74,36.3306288,127.3376588,36.3381493,127.3375895
108,149,62,36.3306288,127.3376588,36.3432783,127.3351479
108,150,73,36.3306288,127.3376588,36.3035003,127.3494685
109,14,78,36.3423741,127.3879101,36.3555198,127.3790396
109,17,106,36.3423741,127.3879101,36.352308,127.3785493
109,43,60,36.3423741,127.3879101,36.3540661,127.374375
109,252,54,36.3423741,127.3879101,36.3589332,127.386781
110,17,147,36.3377237,127.3921483,36.352308,127.3785493
110,19,57,36.3377237,127.3921483,36.3515604,127.3887852
110,46,162,36.3377237,127.3921483,36.3470359,127.377212
110,51,62,36.3377237,127.3921483,36.3488715,127.3986315
110,105,50,36.3377237,127.3921483,36.36935,127.3644226
110,186,61,36.3377237,127.3921483,36.3674851,127.3880222
110,237,198,36.3377237,127.3921483,36.3244404,127.3781692
110,238,60,36.3377237,127.3921483,36.3306265,127.3767745
110,242,54,36.3377237,127.3921483,36.3221312,127.404684
111,184,65,36.335634,127.3968452,36.3525766,127.4157197
111,219,77,36.335634,127.3968452,36.3130499,127.3995815
117,151,82,36.3508607,127.4402033,36.3369621,127.4478541
118,122,63,36.3488175,127.4348312,36.3584991,127.4235988
118,153,56,36.3488175,127.4348312,36.3297012,127.4423417
118,244,58,36.3488175,127.4348312,36.3401727,127.4459934
121,185,55,36.357798,127.4332175,36.3550125,127.4473144
122,3,79,36.3584991,127.4235988,36.3674851,127.3880222
122,154,63,36.3584991,127.4235988,36.3499551,127.4155733
122,186,87,36.3584991,127.4235988,36.3674851,127.3880222
122,247,64,36.3584991,127.4235988,36.3343584,127.4124613
133,89,62,36.3283177,127.4058488,36.3194213,127.3921757
136,133,53,36.325279,127.4213264,36.3283177,127.4058488
136,174,60,36.325279,127.4213264,36.3046829,127.3529668
139,143,78,36.3223302,127.4113927,36.3277558,127.4260351
139,237,133,36.3223302,127.4113927,36.3244404,127.3781692
140,237,52,36.3268502,127.419917,36.3244404,127.3781692
142,206,80,36.3320232,127.4223035,36.3345661,127.4568
143,139,93,36.3277558,127.4260351,36.3223302,127.4113927
143,151,209,36.3277558,127.4260351,36.3369621,127.4478541
143,153,68,36.3277558,127.4260351,36.3297012,127.4423417
143,166,90,36.3277558,127.4260351,36.321968,127.4379887
143,172,65,36.3277558,127.4260351,36.3134191,127.4338763
143,186,54,36.3277558,127.4260351,36.3674851,127.3880222
143,198,57,36.3277558,127.4260351,36.3139164,127.3793519
145,105,79,36.3490772,127.3476364,36.36935,127.3644226
149,19,60,36.3432783,127.3351479,36.3515604,127.3887852
150,14,60,36.3035003,127.3494685,36.3555198,127.3790396
151,117,67,36.3369621,127.4478541,36.3508607,127.4402033
151,118,57,36.3369621,127.4478541,36.3488175,127.4348312
151,143,165,36.3369621,127.4478541,36.3277558,127.4260351
151,167,74,36.3369621,127.4478541,36.3270199,127.434649
151,225,58,36.3369621,127.4478541,36.3490493,127.4518898
151,243,166,36.3369621,127.4478541,36.3384503,127.4323329
152,74,52,36.3323747,127.431888,36.3663894,127.4260145
152,77,122,36.3323747,127.431888,36.3683645,127.4411321
152,122,55,36.3323747,127.431888,36.3584991,127.4235988
152,136,88,36.3323747,127.431888,36.325279,127.4213264
152,154,50,36.3323747,127.431888,36.3499551,127.4155733
152,157,70,36.3323747,127.431888,36.3404707,127.4110468
153,143,77,36.3297012,127.4423417,36.3277558,127.4260351
156,112,52,36.3359708,127.4149203,36.3318453,127.3853682
157,122,60,36.3404707,127.4110468,36.3584991,127.4235988
158,30,75,36.3840252,127.3682266,36.3635561,127.3740015
159,4,63,36.3853945,127.3768538,36.3679468,127.3795192
159,30,64,36.3853945,127.3768538,36.3635561,127.3740015
159,31,59,36.3853945,127.3768538,36.3617639,127.3574454
159,160,93,36.3853945,127.3768538,36.3853867,127.353672
161,55,67,36.3847977,127.3491015,36.3625121,127.3440365
163,165,53,36.4328034,127.384048,36.4219097,127.3878129
165,163,68,36.4219097,127.3878129,36.4328034,127.384048
165,257,71,36.4219097,127.3878129,36.4232554,127.4056817
167,151,102,36.3270199,127.434649,36.3369621,127.4478541
174,108,54,36.3046829,127.3529668,36.3306288,127.3376588
174,136,91,36.3046829,127.3529668,36.325279,127.4213264
174,239,54,36.3046829,127.3529668,36.2963016,127.3426207
175,189,57,36.3033164,127.3389364,36.2967686,127.319249
175,190,102,36.3033164,127.3389364,36.3044817,127.3190234
175,226,58,36.3033164,127.3389364,36.312636,127.3191407
178,31,51,36.3744426,127.3184309,36.3617639,127.3574454
178,54,84,36.3744426,127.3184309,36.3647782,127.3387212
178,55,199,36.3744426,127.3184309,36.3625121,127.3440365
178,179,101,36.3744426,127.3184309,36.3912077,127.3148624
178,199,57,36.3744426,127.3184309,36.3682342,127.3184583
178,200,72,36.3744426,127.3184309,36.3830082,127.3191051
178,201,55,36.3744426,127.3184309,36.3831766,127.3011674
178,203,98,36.3744426,127.3184309,36.3688891,127.3368187
178,213,76,36.3744426,127.3184309,36.3872892,127.3205402
178,227,50,36.3744426,127.3184309,36.3692377,127.334208
179,57,52,36.3912077,127.3148624,36.3565711,127.3419092
179,161,55,36.3912077,127.3148624,36.3847977,127.3491015
179,178,134,36.3912077,127.3148624,36.3744426,127.3184309
180,181,55,36.3993552,127.4018147,36.3969564,127.4045899
181,2,58,36.3969564,127.4045899,36.3749012,127.3916831
181,186,60,36.3969564,127.4045899,36.3674851,127.3880222
182,56,115,36.3493447,127.3019905,36.3617967,127.3450565
182,58,117,36.3493447,127.3019905,36.3563987,127.3311397
182,59,141,36.3493447,127.3019905,36.3542559,127.3412636
182,183,90,36.3493447,127.3019905,36.3596907,127.3204025
182,200,79,36.3493447,127.3019905,36.3830082,127.3191051
182,231,56,36.3493447,127.3019905,36.3515223,127.2927529
183,182,103,36.3596907,127.3204025,36.3493447,127.3019905
183,231,58,36.3596907,127.3204025,36.3515223,127.2927529
185,121,59,36.3550125,127.4473144,36.357798,127.4332175
186,2,66,36.3674851,127.3880222,36.3749012,127.3916831
186,3,1077,36.3674851,127.3880222,36.3674851,127.3880222
186,5,52,36.3674851,127.3880222,36.3645051,127.3889771
186,12,72,36.3674851,127.3880222,36.3583025,127.3817429
186,14,165,36.3674851,127.3880222,36.3555198,127.3790396
186,15,82,36.3674851,127.3880222,36.3562785,127.3900208
186,17,138,36.3674851,127.3880222,36.352308,127.3785493
186,19,59,36.3674851,127.3880222,36.3515604,127.3887852
186,30,65,36.3674851,127.3880222,36.3635561,127.3740015
186,31,279,36.3674851,127.3880222,36.3617639,127.3574454
186,32,110,36.3674851,127.3880222,36.3584437,127.3542548
186,33,113,36.3674851,127.3880222,36.3581627,127.361835
186,46,50,36.3674851,127.3880222,36.3470359,127.377212
186,56,121,36.3674851,127.3880222,36.3617967,127.3450565
186,57,56,36.3674851,127.3880222,36.3565711,127.3419092
186,122,97,36.3674851,127.3880222,36.3584991,127.4235988
187,60,79,36.3377538,127.3469808,36.3532446,127.3417278
188,41,65,36.2986443,127.3297036,36.3536836,127.3632174
189,176,57,36.2967686,127.319249,36.2992446,127.3351953
189,226,60,36.2967686,127.319249,36.312636,127.3191407
190,175,66,36.3044817,127.3190234,36.3033164,127.3389364
195,87,60,36.3113455,127.4093116,36.3225201,127.3984754
195,92,93,36.3113455,127.4093116,36.3179314,127.3946462
195,93,55,36.3113455,127.4093116,36.3190031,127.4009257
195,110,61,36.3113455,127.4093116,36.3377237,127.3921483
195,134,71,36.3113455,127.4093116,36.3258393,127.4078523
195,136,69,36.3113455,127.4093116,36.325279,127.4213264
195,139,131,36.3113455,127.4093116,36.3223302,127.4113927
195,143,120,36.3113455,127.4093116,36.3277558,127.4260351
195,192,110,36.3113455,127.4093116,36.3176432,127.4255479
197,14,89,36.3202851,127.3775462,36.3555198,127.3790396
199,54,52,36.3682342,127.3184583,36.3647782,127.3387212
199,55,110,36.3682342,127.3184583,36.3625121,127.3440365
199,200,68,36.3682342,127.3184583,36.3830082,127.3191051
199,203,142,36.3682342,127.3184583,36.3688891,127.3368187
199,227,186,36.3682342,127.3184583,36.3692377,127.334208
200,55,102,36.3830082,127.3191051,36.3625121,127.3440365
200,161,53,36.3830082,127.3191051,36.3847977,127.3491015
200,178,55,36.3830082,127.3191051,36.3744426,127.3184309
200,199,58,36.3830082,127.3191051,36.3682342,127.3184583
201,178,51,36.3831766,127.3011674,36.3744426,127.3184309
202,108,59,36.3197193,127.3460168,36.3306288,127.3376588
202,174,59,36.3197193,127.3460168,36.3046829,127.3529668
203,31,65,36.3688891,127.3368187,36.3617639,127.3574454
203,32,85,36.3688891,127.3368187,36.3584437,127.3542548
203,33,56,36.3688891,127.3368187,36.3581627,127.361835
203,57,105,36.3688891,127.3368187,36.3565711,127.3419092
203,58,111,36.3688891,127.3368187,36.3563987,127.3311397
203,59,76,36.3688891,127.3368187,36.3542559,127.3412636
203,178,61,36.3688891,127.3368187,36.3744426,127.3184309
203,199,76,36.3688891,127.3368187,36.3682342,127.3184583
206,142,58,36.3345661,127.4568,36.3320232,127.4223035
213,178,71,36.3872892,127.3205402,36.3744426,127.3184309
219,111,51,36.3130499,127.3995815,36.335634,127.3968452
221,173,54,36.3492864,127.3686344,36.3581729,127.3769349
222,33,60,36.3441055,127.3680178,36.3581627,127.361835
222,35,169,36.3441055,127.3680178,36.3575865,127.375422
225,151,84,36.3490493,127.4518898,36.3369621,127.4478541
227,33,65,36.3692377,127.334208,36.3581627,127.361835
227,59,86,36.3692377,127.334208,36.3542559,127.3412636
227,178,53,36.3692377,127.334208,36.3744426,127.3184309
228,179,222,36.3831766,127.3011674,36.3912077,127.3148624
228,200,64,36.3831766,127.3011674,36.3830082,127.3191051
229,161,90,36.3899905,127.3301777,36.3847977,127.3491015
229,178,125,36.3899905,127.3301777,36.3744426,127.3184309
229,179,114,36.3899905,127.3301777,36.3912077,127.3148624
231,56,82,36.3515223,127.2927529,36.3617967,127.3450565
231,58,64,36.3515223,127.2927529,36.3563987,127.3311397
231,59,90,36.3515223,127.2927529,36.3542559,127.3412636
233,164,56,36.4424162,127.4011129,36.4289564,127.3918538
233,165,94,36.4424162,127.4011129,36.4219097,127.3878129
233,257,72,36.4424162,127.4011129,36.4232554,127.4056817
237,110,191,36.3244404,127.3781692,36.3377237,127.3921483
237,139,93,36.3244404,127.3781692,36.3223302,127.4113927
237,140,52,36.3244404,127.3781692,36.3268502,127.419917
238,70,74,36.3306265,127.3767745,36.3381493,127.3375895
238,108,76,36.3306265,127.3767745,36.3306288,127.3376588
239,174,71,36.2963016,127.3426207,36.3046829,127.3529668
240,174,107,36.3086979,127.3730963,36.3046829,127.3529668
242,110,87,36.3221312,127.404684,36.3377237,127.3921483
243,151,129,36.3384503,127.4323329,36.3369621,127.4478541
244,117,80,36.3401727,127.4459934,36.3508607,127.4402033
244,118,80,36.3401727,127.4459934,36.3488175,127.4348312
244,121,74,36.3401727,127.4459934,36.357798,127.4332175
244,143,59,36.3401727,127.4459934,36.3277558,127.4260351
247,171,59,36.3343584,127.4124613,36.3236372,127.4285088
250,178,91,36.3764006,127.3036087,36.3744426,127.3184309
250,179,92,36.3764006,127.3036087,36.3912077,127.3148624
250,199,157,36.3764006,127.3036087,36.3682342,127.3184583
250,201,74,36.3764006,127.3036087,36.3831766,127.3011674
253,108,98,36.3156147,127.3477683,36.3306288,127.3376588
256,260,64,36.3892126,127.3473271,36.3577832,127.4075046
257,164,58,36.4232554,127.4056817,36.4289564,127.3918538
257,165,91,36.4232554,127.4056817,36.4219097,127.3878129
257,233,186,36.4232554,127.4056817,36.4424162,127.4011129
259,161,72,36.390533,127.3656637,36.3847977,127.3491015
259,256,161,36.390533,127.3656637,36.3892126,127.3473271
